state_action_state_weights
49188 682 1 1
"aid" "N" "g" 340
"ae" "N" "k" 997
"s'" "N" "k" 148
"s'" "N" "g" 845
"s'" "N" "i" 1221
"ce" "N" "te" 225
"oad" "N" "e" 1421
"g" "N" "ad" 589
"s" "N" "ud" 293
"ch" "N" "age" 219
"i" "N" "mme" 63
"mme" "N" "r" 303
"m" "N" "ado" 46
"da" "N" "do" 118
"le" "N" "ad" 218
"e" "N" "te'" 135
"ery" "N" "y" 192
"w" "N" "ire" 203
"g" "N" "hi" 215
"e'" "N" "re" 683
"er" "N" "ks" 82
"a" "N" "y'" 343
"opa" "N" "a" 676
"ow" "N" "ur" 105
"ade" "N" "ou" 467
"did" "N" "sh" 105
"erer" "N" "s" 224
"c" "N" "ier" 2826
"de" "N" "rr" 1754
"te" "N" "is" 141
"f" "N" "ue" 371
"t" "N" "ier" 430
"ier" "N" "i" 1268
"age" "N" "ll" 366
"or" "N" "egi" 4
"ope" "N" "x" 42
"poi" "N" "se" 65
"ea" "N" "ng" 137
"pe" "N" "ph" 68
"pora" "N" "c" 305
"s" "N" "urgi" 117
"s" "N" "urge" 1103
"urge" "N" "o" 262
"ah" "N" "b" 1555
"p" "N" "pora" 16
"pora" "N" "w" 51
"bb" "N" "u" 478
"je" "N" "z" 960
"owed" "N" "m" 818
"edo" "N" "u" 114
"der" "N" "y" 1480
"der" "N" "j" 409
"pora" "N" "h" 82
"you" "N" "ne" 60
"ai" "N" "f" 1930
"ur" "N" "ge" 145
"dai" "N" "w" 69
"ayer" "N" "w" 1871
"ey" "N" "wh" 62
"cke" "N" "r" 181
"ior" "N" "sh" 124
"age" "N" "'" 306
"iew" "N" "g" 265
"po" "N" "b" 921
"pi" "N" "u" 636
"f" "N" "ha" 185
"ha" "N" "d" 240
"n" "N" "opo" 54
"" "N" "year" 551
"t" "N" "yr" 1155
"yr" "N" "s" 746
"hu" "N" "r" 107
"dar" "N" "n" 79
"j" "N" "ve" 199
"ch" "N" "ve" 481
"ada" "N" "h" 1486
"ord" "N" "ia" 55
"odde" "N" "n" 205
"jay" "N" "le" 27
"l" "N" "augh" 2992
"augh" "N" "l" 580
"o'" "N" "g" 251
"ear" "N" "-e" 183
"poo" "N" "n'" 62
"hy" "N" "w" 153
"ide" "N" "te" 20
"ider" "N" "u" 79
"ured" "N" "c" 943
"re" "N" "jo" 137
"ooper" "N" "b" 231
"s" "N" "ided" 163
"di" "N" "ze" 160
"edy" "N" "s" 2236
"edo" "N" "f" 61
"peru" "N" "f" 90
"peru" "N" "h" 135
"ded" "N" "jo" 27
"de" "N" "pi" 351
"peru" "N" "" 134
"peru" "N" "b" 87
"peru" "N" "l" 78
"chs" "N" "r" 75
"oup" "N" "v" 357
"h" "N" "aya" 73
"aya" "N" "d" 51
"t" "N" "orre" 360
"orre" "N" "h" 4
"erge" "N" "" 105
"peru" "N" "w" 150
"power" "N" "le" 22
"ks" "N" "pa" 135
"uer" "N" "h" 71
"-e" "N" "ff" 474
"i" "N" "ct" 1100
"di" "N" "ure" 43
"gh" "N" "h" 377
"ai" "N" "y" 573
"k" "N" "upp" 62
"th" "N" "-p" 320
"ch" "N" "ge" 39
"ch" "N" "-up" 112
"ja" "N" "ng" 1684
"yu" "N" "n" 2106
"ju" "N" "" 773
"yu" "N" "ng" 514
"cher" "N" "y" 287
"r" "N" "d-" 97
"d-" "N" "" 10
"owd" "N" "di" 3
"owd" "N" "" 123
"ne" "N" "ck" 114
"eady" "N" "l" 352
"edy" "N" "w" 600
"s" "N" "ah" 1771
"ah" "N" "h" 1300
"jur" "N" "u" 30
"ne" "N" "year" 141
"oya" "N" "n" 466
"m" "N" "udge" 107
"udge" "N" "o" 80
"dow" "N" "h" 260
"iew" "N" "k" 134
"v" "N" "ee" 1848
"add" "N" "p" 42
"m" "N" "adap" 26
"eup" "N" "a" 421
"m" "N" "aud" 30
"aud" "N" "io" 59
"eur" "N" "r" 573
"eur" "N" "s" 1582
"ow" "N" "ear" 208
"ar" "N" "pa" 311
"year" "N" "ou" 7
"d" "N" "mm" 88
"oder" "N" "s" 244
"oder" "N" "h" 38
"ery" "N" "ch" 415
"or" "N" "le" 605
"t" "N" "addi" 109
"odi" "N" "ca" 272
"ere" "N" "ea" 407
"sch" "N" "th" 246
"ja" "N" "mb" 12
"me" "N" "origi" 55
"jur" "N" "a" 290
"a" "N" "ho" 357
"ho" "N" "a" 43
"ori" "N" "b" 33
"ered" "N" "g" 582
"i" "N" "nne" 558
"st" "N" "g" 386
"z" "N" "ai" 846
"ji" "N" "c" 1093
"sh" "N" "ur" 338
"n" "N" "dir" 8
"a" "N" "ee" 723
"nn" "N" "m" 1984
"h" "N" "ju" 632
"v" "N" "ju" 288
"aye" "N" "l" 78
"u" "N" "ure" 102
"j" "N" "ed" 176
"dai" "N" "s" 1438
"c" "N" "sc" 589
"b" "N" "ore" 28
"opera" "N" "d" 62
"g" "N" "ja" 1485
"i" "N" "power" 114
"l" "N" "owed" 436
"pi" "N" "ph" 258
"jo" "N" "ch" 398
"r" "N" "origi" 252
"m" "N" "aid" 18
"aid" "N" "e" 312
"ah" "N" "f" 775
"owe" "N" "ll" 1696
"ge" "N" "l'" 122
"odu" "N" "s" 839
"ai" "N" "i" 2046
"ewi" "N" "tt" 432
"or" "N" "que" 339
"per" "N" "do" 85
"year" "N" "sh" 425
"z" "N" "jo" 487
"m" "N" "ng" 592
"di" "N" "ch" 1148
"ded" "N" "po" 72
"n" "N" "eider" 596
"eider" "N" "h" 124
"ew" "N" "le" 113
"eider" "N" "w" 105
"c" "N" "oper" 139
"addi" "N" "s" 1112
"-p" "N" "au" 38
"igh" "N" "te" 511
"ct" "N" "a" 418
"ader" "N" "c" 227
"s" "N" "daugh" 1678
"ck's" "N" "v" 57
"h" "N" "ope" 383
"n" "N" "joy" 384
"joy" "N" "ed" 36
"h" "N" "app" 802
"e" "N" "ough" 155
"je" "N" "ffe" 101
"pai" "N" "ne" 308
"ippi" "N" "n" 1460
"nne" "N" "p" 251
"s" "N" "ord" 1511
"" "N" "eyer" 2683
"eyer" "N" "d" 64
"ori" "N" "o" 200
"opp" "N" "e" 135
"ne" "N" "pai" 17
"id" "N" "joh" 31
"ear" "N" "se" 149
"a" "N" "yi" 177
"w" "N" "do" 430
"ara" "N" "k" 327
"n" "N" "t-" 365
"age" "N" "pi" 35
"pi" "N" "z" 869
"nn" "N" "y'" 382
"ed" "N" "add" 6
"add" "N" "i" 321
"e" "N" "add" 20
"ored" "N" "p" 281
"d-" "N" "r" 46
"ck" "N" "ph" 325
"k" "N" "do" 749
"ap" "N" "her" 3
"k" "N" "sc" 110
"r" "N" "oup" 680
"t" "N" "ard" 860
"ued" "N" "p" 482
"ough" "N" "ur" 36
"dow" "N" "a" 986
"di" "N" "tch" 583
"er" "N" "ur" 577
"ew" "N" "hi" 79
"or" "N" "'" 1974
"th" "N" "joh" 95
"ured" "N" "d" 154
"epi" "N" "l" 536
"ll" "N" "do" 352
"ck" "N" "ow" 112
"do" "N" "ll'" 100
"ipp" "N" "a" 116
"u" "N" "mb" 2064
"ed" "N" "ited" 252
"ited" "N" "r" 145
"up" "N" "po" 153
"ey'" "N" "ll" 134
"cks" "N" "n" 746
"our" "N" "ke" 146
"x" "N" "q" 1926
"appe" "N" "ll" 1550
"ood" "N" "jewe" 2
"rr" "N" "f" 182
"r" "N" "augh" 579
"did" "N" "m" 674
"th" "N" "ph" 2043
"b" "N" "uri" 423
"f" "N" "wh" 517
"ur" "N" "b'" 28
"d" "N" "me" 333
"ora" "N" "" 176
"ora" "N" "s" 322
"ora" "N" "a" 248
"th" "N" "ep" 10
"ep" "N" "ch" 120
"ae" "N" "me" 705
"do" "N" "tt" 532
"-e" "N" "pi" 301
"paper" "N" "ch" 117
"ode" "N" "pi" 19
"aw" "N" "y" 79
"ft" "N" "w" 6005
"ori" "N" "th" 3658
"t" "N" "appe" 200
"pera" "N" "l" 204
"rr" "N" "era" 576
"orre" "N" "n" 209
"edo" "N" "s" 85
"ya" "N" "i" 598
"ager" "N" "jo" 39
"or" "N" "jo" 447
"erdi" "N" "ng" 157
"" "N" "erd" 1733
"erd" "N" "s" 360
"aged" "N" "per" 31
"erd" "N" "c" 43
"ier" "N" "n" 406
"ze" "N" "b" 2812
"er" "N" "ze" 1442
"ere" "N" "ow" 192
"ger" "N" "ze" 13
"erage" "N" "b" 223
"erd" "N" "" 57
"eigh" "N" "te" 124
"r" "N" "ader" 356
"erd" "N" "w" 55
"c" "N" "ap" 725
"r" "N" "oppi" 129
"ied" "N" "per" 33
"r" "N" "opp" 107
"opp" "N" "i" 162
"ored" "N" "r" 349
"oy" "N" "v" 311
"ader" "N" "th" 123
"ve" "N" "dia" 25
"uded" "N" "g" 388
"w" "N" "her" 222
"ader" "N" "w" 189
"er" "N" "age" 564
"pri" "N" "ce" 36
"ood" "N" "de" 175
"ered" "N" "or" 90
"j" "N" "po" 188
"p" "N" "he" 49
"ue" "N" "rre" 505
"ck" "N" "er'" 148
"n" "N" "add" 113
"ne" "N" "du" 83
"ued" "N" "ear" 17
"l" "N" "gia" 106
"y" "N" "pre" 752
"ior" "N" "e" 990
"d" "N" "ah" 393
"ce" "N" "ah" 51
"th" "N" "ah" 73
"t" "N" "poi" 230
"" "N" "ad'" 502
"ad'" "N" "s" 503
"aw" "N" "q" 154
"w" "N" "oj" 211
"oj" "N" "c" 208
"" "N" "aj" 3054
"aj" "N" "i" 1464
"opa" "N" "per" 50
"peru" "N" "r" 178
"a" "N" "depa" 54
"-up" "N" "l" 225
"peru" "N" "per" 20
"g" "N" "ff" 66
"rr" "N" "k" 66
"k" "N" "pi" 850
"ya" "N" "ss" 417
"cc" "N" "er" 30
"ard" "N" "po" 81
"id" "N" "ed" 132
"be" "N" "pe" 23
"pe" "N" "q" 271
"e" "N" "ue" 343
"" "N" "age'" 645
"age'" "N" "s" 670
"e" "N" "uer" 67
"uer" "N" "b" 61
"h" "N" "euer" 11
"euer" "N" "a" 38
"-p" "N" "f" 227
"euer" "N" "g" 8
"euer" "N" "t" 16
"ged" "N" "ei" 7
"-i" "N" "r" 2421
"ss" "N" "ge" 15
"up" "N" "sh" 543
"nn" "N" "th" 647
"b" "N" "ck" 241
"sch" "N" "au" 177
"r" "N" "eier" 46
"eier" "N" "" 77
"ne" "N" "au" 989
"ergy" "N" "s" 1709
"te" "N" "pi" 196
"ude" "N" "p" 1007
"a" "N" "s's" 17
"sh" "N" "oa" 208
"t" "N" "sc" 1064
"s" "N" "sc" 831
"ado" "N" "n" 553
"ter" "N" "ou" 16
"re" "N" "da" 305
"ed" "N" "sc" 283
"owd" "N" "w" 161
"ve" "N" "ow" 293
"g" "N" "pu" 359
"ade" "N" "ow" 15
"pay" "N" "r" 546
"pur" "N" "th" 165
"pay" "N" "th" 1070
"n" "N" "ewed" 17
"du" "N" "ce" 1142
"ng" "N" "pur" 119
"pur" "N" "b" 317
"u" "N" "dia" 223
"o" "N" "jai" 36
"jai" "N" "p" 57
"ayo" "N" "n" 1004
"l" "N" "pur" 598
"ph" "N" "u" 3313
"b" "N" "age" 236
"do" "N" "j" 192
"r" "N" "dau" 3
"dau" "N" "d" 8
"jo" "N" "jo" 431
"dia" "N" "k" 154
"o" "N" "pur" 174
"jay" "N" "m" 362
"ji" "N" "w" 1116
"ji" "N" "" 902
"po" "N" "'" 223
"ks" "N" "k" 906
"du" "N" "ng" 478
"ja" "N" "ya" 130
"ya" "N" "per" 10
"s" "N" "ia'" 631
"uper" "N" "le" 164
"ar" "N" "or" 257
"cs" "N" "ed" 66
"ard" "N" "z" 283
"cs" "N" "or" 208
"der" "N" "ged" 3
"ogi" "N" "sch" 216
"tsch" "N" "e" 374
"opper" "N" "'" 45
"g" "N" "et" 43
"y" "N" "day" 231
"gi" "N" "b" 2001
"dea" "N" "" 222
"ea" "N" "the" 394
"the" "N" "ou" 5
"ior" "N" "v" 627
"ce" "N" "ad" 37
"ae" "N" "c" 293
"ited" "N" "l" 90
"dire" "N" "a" 15
"t" "N" "era" 448
"dire" "N" "r" 6
"-i" "N" "i" 1214
"ze" "N" "ph" 165
"pep" "N" "t" 642
"w" "N" "ude" 15
"co" "N" "ll" 152
"s" "N" "ipp" 30
"ipp" "N" "i" 173
"ss" "N" "our" 34
"ippi" "N" "m" 158
"t" "N" "ah" 5837
"ie" "N" "ed" 68
"dir" "N" "k" 589
"aid" "N" "sh" 727
"cher" "N" "t" 525
"iew" "N" "m" 643
"th" "N" "je" 509
"o" "N" "l'" 251
"ippi" "N" "p" 100
"ippi" "N" "f" 145
"ippi" "N" "h" 343
"re" "N" "q" 1584
"ouri" "N" "g" 46
"igh" "N" "ie" 25
"ck" "N" "ll" 30
"rre" "N" "a" 616
"ude" "N" "d" 1112
"pa" "N" "te" 637
"me" "N" "re" 78
"ke" "N" "ei" 45
"ara" "N" "b" 441
"ara" "N" "l" 152
"ara" "N" "p" 173
"ara" "N" "d" 58
"ara" "N" "de" 17
"tte" "N" "pe" 23
"ara" "N" "ch" 111
"c" "N" "oder" 319
"oder" "N" "de" 7
"oder" "N" "e" 51
"die" "N" "sh" 34
"c" "N" "ne" 300
"-p" "N" "c" 191
"you" "N" "sh" 537
"s" "N" "dor" 99
"dor" "N" "g" 30
"pu" "N" "o" 53
"m" "N" "peri" 315
"peri" "N" "a" 303
"ew" "N" "ou" 429
"pur" "N" "k" 228
"j" "N" "da" 475
"d" "N" "ure" 411
"jour" "N" "i" 26
"ar" "N" "da" 94
"-e" "N" "c" 1024
"ed" "N" "year" 147
"ara" "N" "s" 389
"ey" "N" "ae" 14
"re" "N" "ve" 287
"t" "N" "me" 709
"v" "N" "ault" 82
"ault" "N" "b" 54
"ud" "N" "f" 250
"e" "N" "ye" 146
"d" "N" "poo" 128
"y" "N" "mm" 2921
"que" "N" "ch" 1109
"nne" "N" "o" 459
"jo" "N" "z" 555
"da" "N" "di" 1098
"aged" "N" "o" 984
"ager" "N" "ia" 4
"da" "N" "j" 322
"d" "N" "ura" 417
"ura" "N" "a" 369
"ura" "N" "u" 73
"b" "N" "ada" 208
"ada" "N" "jo" 33
"a" "N" "ada" 76
"-i" "N" "f" 211
"oud" "N" "l" 427
"a" "N" "wh" 1019
"is" "N" "g" 166
"udi" "N" "ne" 7
"m" "N" "lle" 334
"gh" "N" "b" 483
"rre" "N" "p" 165
"did" "N" "l" 405
"r" "N" "ier" 284
"ier" "N" "'" 89
"au" "N" "re" 216
"dep" "N" "u" 329
"du" "N" "pa" 208
"j" "N" "pe" 643
"ce" "N" "ca" 59
"ca" "N" "te" 1174
"a" "N" "jai" 53
"pri" "N" "o" 200
"b" "N" "augh" 508
"augh" "N" "s" 185
"her" "N" "w" 301
"o" "N" "ah" 142
"ed" "N" "ah" 164
"ah" "N" "ah" 112
"h" "N" "ora" 257
"ph" "N" "'" 306
"od" "N" "b" 2288
"urd" "N" "c" 38
"ah" "N" "u" 620
"ca" "N" "i" 266
"al" "N" "i" 236
"der" "N" "ja" 277
"ph" "N" "th" 2080
"a" "N" "ha" 881
"a" "N" "d'" 97
"erred" "N" "h" 329
"ted" "N" "hi" 117
"ged" "N" "u" 218
"p" "N" "ll" 249
"f" "N" "jur" 37
"r" "N" "ude" 875
"ored" "N" "t" 925
"pur" "N" "t" 406
"pay" "N" "ph" 23
"d" "N" "ca" 252
"m" "N" "ag" 213
"ag" "N" "ne" 213
"mm" "N" "m" 243
"'" "N" "ud" 3
"ca" "N" "w" 185
"'" "N" "ah" 18
"que" "N" "ou" 89
"ida" "N" "m" 549
"a" "N" "sse" 595
"ha" "N" "a" 339
"ei" "N" "sch" 354
"ie" "N" "der" 612
"yer" "N" "n" 149
"dow" "N" "n'" 25
"be" "N" "l" 969
"ur" "N" "sch" 179
"ah" "N" "je" 31
"e" "N" "deu" 11
"tsche" "N" "s" 276
"z" "N" "ade" 168
"le" "N" "dire" 98
"die" "N" "d" 135
"n" "N" "oper" 132
"oper" "N" "b" 295
"c" "N" "peri" 35
"ey" "N" "di" 528
"po" "N" "f" 446
"eda" "N" "v" 26
"egi" "N" "n" 2289
"yo" "N" "sh" 1418
"eda" "N" "h" 85
"chi" "N" "v" 42
"da" "N" "or" 111
"di" "N" "ct" 84
"ui" "N" "v" 139
"'" "N" "ur" 215
"s" "N" "jur" 147
"y" "N" "cher" 168
"cher" "N" "v" 163
"th" "N" "ood" 125
"op" "N" "s'" 155
"ar" "N" "pi" 63
"ood" "N" "ear" 63
"ew" "N" "s'" 156
"gh" "N" "m" 721
"dire" "N" "ct" 229
"ct" "N" "or" 296
"dio" "N" "n" 592
"ng" "N" "ure" 25
"ff" "N" "ered" 103
"tt" "N" "ei" 109
"r" "N" "aud" 175
"o" "N" "rre" 528
"gi" "N" "r" 656
"r" "N" "up" 908
"orou" "N" "gh" 318
"d" "N" "upper" 115
"idge" "N" "de" 65
"appa" "N" "a" 229
"w" "N" "ade" 163
"you" "N" "ss" 259
"ua" "N" "w" 226
"o" "N" "ap" 44
"ap" "N" "er" 52
"oe" "N" "e" 139
"ji" "N" "v" 656
"ir" "N" "je" 7
"e" "N" "ffe" 245
"ffe" "N" "i" 116
"nd" "N" "r" 410
"" "N" "tte" 707
"" "N" "se" 180
"g" "N" "uri" 172
"uri" "N" "r" 84
"oa" "N" "per" 5
"ap" "N" "e" 1046
"w" "N" "hir" 188
"-e" "N" "-p" 32
"od" "N" "ea" 36
"eur" "N" "h" 337
"ided" "N" "r" 366
"q" "N" "p" 2261
"ore" "N" "x" 5
"er" "N" "ah" 269
"-e" "N" "-i" 289
"ida" "N" "v" 285
"co" "N" "o" 98
"lle" "N" "pi" 37
"ge" "N" "nn" 148
"ead" "N" "y" 587
"gg" "N" "io" 103
"eo" "N" "a" 184
"rr" "N" "er" 782
"ado" "N" "nn" 1283
"c" "N" "che" 91
"z" "N" "origi" 10
"ha" "N" "n'" 439
"ay" "N" "hi" 35
"odi" "N" "l" 613
"che" "N" "d" 213
"hi" "N" "st" 196
"edy" "N" "p" 374
"edera" "N" "c" 651
"mb" "N" "i" 1072
"le" "N" "wh" 189
"k" "N" "me" 95
"b" "N" "-e" 454
"ker" "N" "m" 35
"l" "N" "ard" 669
"za" "N" "n" 70
"t" "N" "pur" 391
"er" "N" "oo" 351
"pre" "N" "pa" 47
"ve" "N" "ei" 234
"ng" "N" "ve" 664
"do" "N" "ff" 328
"ou" "N" "po" 52
"oe" "N" "h" 458
"ud" "N" "m" 529
"nn" "N" "k" 725
"y" "N" "nne" 858
"s" "N" "ya" 264
"up" "N" "par" 2
"l" "N" "ss" 1589
"der" "N" "ea" 189
"h" "N" "jer" 50
"ead" "N" "ou" 736
"q" "N" "v" 1952
"ipe" "N" "i" 159
"ff" "N" "do" 41
"ipe" "N" "w" 86
"" "N" "dur" 940
"dur" "N" "k" 139
"m" "N" "ower" 37
"ower" "N" "m" 1844
"n" "N" "ig" 323
"o" "N" "s'" 149
"s'" "N" "pa" 96
"aud" "N" "o" 181
"ne" "N" "ai" 492
"k" "N" "iy" 319
"iy" "N" "o" 164
"ck" "N" "-i" 266
"ded" "N" "ch" 505
"her" "N" "-i" 23
"f" "N" "ired" 76
"ged" "N" "v" 247
"t" "N" "oppe" 167
"dead" "N" "o" 669
"w" "N" "poi" 34
"ped" "N" "a" 43
"e" "N" "t-" 15
"t-" "N" "r" 65
"dia" "N" "ll" 40
"th" "N" "eigh" 582
"opper" "N" "ja" 5
"id" "N" "e" 2316
"ce" "N" "age" 148
"l" "N" "ippi" 1314
"ire" "N" "ei" 8
"adi" "N" "" 459
"o" "N" "app" 104
"app" "N" "o" 381
"eur" "N" "" 383
"ca" "N" "q" 13
"ui" "N" "ja" 5
"b" "N" "al" 287
"ora" "N" "z" 74
"ged" "N" "ph" 20
"s" "N" "ored" 428
"pay" "N" "" 421
"t" "N" "odi" 41
"odi" "N" "o" 37
"ua" "N" "ng" 303
"ad" "N" "ir" 3
"ng" "N" "opera" 348
"c" "N" "eye" 190
"eye" "N" "sh" 24
"ora" "N" "que" 2
"v" "N" "se" 96
"epi" "N" "t" 573
"ya" "N" "b" 718
"que" "N" "au" 84
"-p" "N" "re" 171
"'" "N" "ph" 306
"n" "N" "ati" 44
"ati" "N" "o" 212
"yr" "N" "or" 5
"die" "N" "y" 16
"oo" "N" "ear" 88
"ow" "N" "-e" 33
"f" "N" "ao" 271
"ao" "N" "a" 1242
"ger" "N" "ed" 335
"are" "N" "sh" 925
"sts" "N" "i" 646
"l" "N" "cs" 12
"s" "N" "odi" 77
"yo" "N" "t" 1274
"yper" "N" "p" 214
"n" "N" "upp" 64
"upp" "N" "s" 230
"ce" "N" "are" 708
"h" "N" "ss" 166
"f" "N" "upp" 42
"cts" "N" "b" 575
"pora" "N" "a" 214
"w" "N" "ede" 32
"pora" "N" "i" 510
"" "N" "uo" 1680
"uo" "N" "k" 700
"sh" "N" "ip" 449
"ip" "N" "ja" 62
"oh" "N" "i" 162
"a" "N" "t-" 145
"t-" "N" "b" 203
"yo" "N" "m" 2952
"ored" "N" "f" 603
"n" "N" "pre" 457
"n" "N" "ood" 249
"r" "N" "eppi" 4
"eppi" "N" "n" 27
"v" "N" "ery" 82
"sse" "N" "m" 150
"t" "N" "ag" 106
"ag" "N" "n" 247
"que" "N" "d" 1091
"m" "N" "al" 210
"ur" "N" "opo" 53
"opo" "N" "da" 55
"der" "N" "je" 104
"m" "N" "eyer" 1317
"eyer" "N" "c" 220
"w" "N" "sch" 305
"eider" "N" "e" 46
"z" "N" "ph" 277
"eyer" "N" "g" 89
"ne" "N" "tte" 26
"d" "N" "gia" 12
"i" "N" "co" 37
"co" "N" "f" 237
"ge" "N" "sch" 165
"oh" "N" "j" 14
"dai" "N" "x" 17
"f" "N" "ouri" 42
"ader" "N" "m" 256
"uo" "N" "ch" 7
"or" "N" "ji" 251
"aya" "N" "th" 61
"dur" "N" "m" 9
"q" "N" "z" 690
"r" "N" "era" 231
"m" "N" "origi" 269
"f" "N" "ere" 447
"ad" "N" "do" 74
"k" "N" "o'" 206
"apa" "N" "ch" 853
"edera" "N" "ll" 234
"ol" "N" "me" 1012
"m" "N" "ore" 219
"ore" "N" "l" 171
"is" "N" "w" 387
"ide" "N" "po" 96
"cs" "N" "d" 489
"ffe" "N" "a" 204
"ch" "N" "ip" 74
"v" "N" "ad" 446
"ad" "N" "or" 310
"e" "N" "aa" 130
"ia" "N" "ca" 105
"udi" "N" "ed" 31
"r" "N" "ud" 319
"ud" "N" "e" 829
"co" "N" "c" 713
"te" "N" "-p" 103
"o" "N" "pie" 72
"f" "N" "ne" 465
"b" "N" "ower" 472
"ower" "N" "y" 176
"ergy" "N" "th" 605
"ey" "N" "re" 419
"k" "N" "ju" 816
"erer" "N" "h" 41
"rr" "N" "c" 235
"rr" "N" "s" 473
"erer" "N" "t" 25
"rr" "N" "l" 220
"urr" "N" "ough" 16
"rr" "N" "ough" 223
"l" "N" "hi" 272
"k's" "N" "t" 398
"ea" "N" "l-" 1707
"l-" "N" "l" 605
"rr" "N" "ph" 13
"erer" "N" "r" 11
"rr" "N" "m" 419
"rr" "N" "th" 125
"" "N" "hugh" 1731
"hugh" "N" "m" 272
"" "N" "addo" 787
"addo" "N" "" 177
"o'" "N" "r" 635
"r" "N" "auer" 97
"auer" "N" "h" 146
"ph" "N" "ea" 297
"ed" "N" "oa" 259
"a" "N" "opera" 341
"dea" "N" "v" 1011
"q" "N" "opera" 29
"per" "N" "'" 517
"ide" "N" "ja" 96
"do" "N" "io" 164
"ger" "N" "or" 145
"c" "N" "tsch" 7
"tsch" "N" "o" 63
"v" "N" "aa" 404
"do" "N" "se" 780
"ided" "N" "ou" 28
"owe" "N" "t" 329
"year" "N" "p" 369
"ar" "N" "ia" 64
"r" "N" "ori" 493
"f" "N" "jour" 218
"oe" "N" "" 658
"erge" "N" "o" 459
"ck" "N" "ide" 4
"or" "N" "or" 1126
"st" "N" "u" 263
"cts" "N" "h" 554
"ged" "N" "l" 376
"dor" "N" "do" 5
"zz" "N" "e" 735
"cks" "N" "year" 14
"ph" "N" "oe" 309
"oe" "N" "n" 1747
"pe" "N" "u" 1161
"g" "N" "ya" 171
"co" "N" "u" 151
"l" "N" "-up" 225
"co" "N" "i" 403
"co" "N" "w" 228
"ager" "N" "l" 257
"ee" "N" "or" 637
"oupe" "N" "d" 143
"co" "N" "t" 246
"zz" "N" "ed" 128
"lle" "N" "p" 914
"a" "N" "you" 304
"p" "N" "our" 39
"aa" "N" "b" 493
"m" "N" "oro" 27
"y" "N" "oo" 430
"ipp" "N" "e" 107
"k" "N" "urd" 35
"nd" "N" "er" 37
"bb" "N" "w" 257
"n" "N" "ogi" 173
"ogi" "N" "n" 251
"ck" "N" "po" 611
"ewe" "N" "a" 163
"ewe" "N" "b" 24
"du" "N" "per" 27
"ider" "N" "t" 631
"de" "N" "per" 216
"le" "N" "-i" 146
"u" "N" "eri" 612
"eri" "N" "te" 603
"de" "N" "jo" 443
"eda" "N" "n" 748
"lle" "N" "th" 753
"lle" "N" "-i" 3
"s" "N" "dea" 178
"th" "N" "he" 26
"que" "N" "'" 389
"de" "N" "joy" 12
"joy" "N" "e" 165
"ll" "N" "-i" 1026
"l" "N" "ais" 827
"ais" "N" "w" 50
"f" "N" "he" 119
"ada" "N" "ea" 97
"m" "N" "oye" 48
"oye" "N" "m" 10
"ape" "N" "nn" 39
"ju" "N" "t" 1964
"c" "N" "oad" 55
"oad" "N" "ju" 116
"i" "N" "cz" 276
"cz" "N" "" 45
"ze" "N" "g" 2364
"ss" "N" "year" 12
"ai" "N" "q" 133
"opa" "N" "c" 471
"a" "N" "ks" 874
"ia" "N" "po" 173
"ie" "N" "ah" 12
"ior" "N" "f" 1642
"ep" "N" "" 1068
"ee" "N" "ded" 285
"que" "N" "k" 303
"al" "N" "e" 105
"oa" "N" "ne" 310
"k" "N" "uder" 30
"uder" "N" "m" 90
"n" "N" "op" 1590
"id" "N" "op" 9
"yd" "N" "w" 17
"o" "N" "dep" 71
"dep" "N" "t" 263
"ie" "N" "tte" 61
"tte" "N" "k" 371
"o" "N" "id" 167
"me" "N" "se" 45
"da" "N" "q" 670
"o" "N" "ct" 277
"ct" "N" "o" 859
"er" "N" "jour" 282
"b" "N" "be" 35
"y" "N" "eppi" 2
"ood" "N" "da" 67
"x" "N" "ie" 4187
"eur" "N" "th" 95
"oupe" "N" "l" 38
"ch" "N" "q" 1810
"ks" "N" "ou" 582
"f" "N" "aye" 463
"aye" "N" "sh" 17
"a" "N" "pai" 213
"k's" "N" "i" 192
"ypo" "N" "c" 228
"aye" "N" "o" 28
"aye" "N" "c" 47
"oge" "N" "t" 316
"cc" "N" "o" 113
"o" "N" "ogi" 166
"w" "N" "ur" 1002
"r" "N" "aa" 277
"ayed" "N" "n" 588
"ah" "N" "de" 43
"uper" "N" "k" 269
"ter" "N" "de" 20
"m" "N" "aged" 232
"aged" "N" "do" 16
"gue" "N" "x" 226
"sch" "N" "" 1180
"er" "N" "poi" 52
"ha" "N" "j" 35
"w" "N" "upper" 362
"upper" "N" "t" 1285
"pe" "N" "po" 617
"ll" "N" "ge" 40
"cts" "N" "e" 145
"pe" "N" "t'" 8
"joy" "N" "r" 217
"popu" "N" "p" 16
"ff" "N" "sch" 60
"ior" "N" "y" 184
"ip" "N" "app" 7
"uded" "N" "hi" 45
"ied" "N" "hi" 109
"ne" "N" "per" 334
"aded" "N" "h" 335
"ter" "N" "b" 720
"oe" "N" "tt" 67
"year" "N" "m" 671
"t" "N" "ire" 342
"ype" "N" "th" 565
"p" "N" "dia" 126
"ck" "N" "or" 1116
"l" "N" "ud" 729
"ird" "N" "or" 63
"day" "N" "do" 8
"" "N" "ei" 820
"r" "N" "yo" 90
"yo" "N" "u" 260
"p" "N" "ha" 151
